BGLO: BLOG, GLOB
BLOT: BLOT, BOLT
BLOW: BLOW, BOWL
BBLU: BLUB, BULB
BELU: BLUE, LUBE
BLRU: BLUR, BURL
ABBO: BOAB, BOBA
ABOR: BOAR, BORA
ABOT: BOAT, BOTA
BDOS: BODS, DOBS
BDOY: BODY, DOBY
BEOT: BOET, BOTE
BGOS: BOGS, GOBS
BILO: BOIL, LOBI
BELO: BOLE, LOBE
BENO: BONE, EBON
BKNO: BONK, KNOB
BNOO: BOON, NOOB
BOOR: BOOR, BROO
BOOS: BOOS, OBOS
BEOR: BORE, ROBE
BOSS: BOSS, SOBS
BOST: BOTS, STOB
BORW: BOWR, BROW
BOSW: BOWS, SWOB
BOOZ: BOZO, ZOBO
BERY: BREY, BYRE
BIRS: BRIS, RIBS
BDSU: BUDS, DUBS
BGSU: BUGS, GUBS
BKNU: BUNK, KNUB
BDRU: BURD, DRUB
BGRU: BURG, GRUB
BRUY: BURY, RUBY
BHSU: BUSH, HUBS
BSSU: BUSS, SUBS
BSUY: BUSY, BUYS
BETU: BUTE, TUBE
BETY: BYTE, YBET
AACS: CAAS, CASA
ACDS: CADS, SCAD
ACEF: CAFE, FACE
ACGS: CAGS, SCAG
ACKY: CAKY, YACK
ACKL: CALK, LACK
ACLM: CALM, CLAM
ACLP: CALP, CLAP
ACMO: CAMO, COMA
ACNS: CANS, SCAN
ACNY: CANY, CYAN
AACP: CAPA, PACA
ACEP: CAPE, PACE
ACHP: CAPH, CHAP
ACIP: CAPI, PICA
ACOP: CAPO, PACO
ACPS: CAPS, PACS
ABCR: CARB, CRAB
ACDR: CARD, DRAC
ACKR: CARK, RACK
ACPR: CARP, CRAP
ACHS: CASH, CHAS
ACKS: CASK, SACK
ACET: CATE, TACE
ACKW: CAWK, WACK
ACSW: CAWS, SCAW
CEER: CERE, CREE
CEOR: CERO, CORE
CESS: CESS, SECS
ACHI: CHAI, CHIA
ACHM: CHAM, MACH
ACHT: CHAT, TACH
